"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"PROD_ID";"SF_ID";"VALUE";
"ARDUCAM";"";"M08";"08P";"AMP QUICK CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"C1";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"10uF";"10UF-POLAR-0603-6.3V-20%(TANT)";"0603-POLAR";"10.0µF polarized capacitors";"";"";"";"";"";"";"";"";"";"CAP-13210";"";"10uF";
"C3";"10uF";"10UF-POLAR-0603-6.3V-20%(TANT)";"0603-POLAR";"10.0µF polarized capacitors";"";"";"";"";"";"";"";"";"";"CAP-13210";"";"10uF";
"C4";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"10uF";"10UF-POLAR-0603-6.3V-20%(TANT)";"0603-POLAR";"10.0µF polarized capacitors";"";"";"";"";"";"";"";"";"";"CAP-13210";"";"10uF";
"C8";"10uF";"10UF-POLAR-0603-6.3V-20%(TANT)";"0603-POLAR";"10.0µF polarized capacitors";"";"";"";"";"";"";"";"";"";"CAP-13210";"";"10uF";
"C9";"2.2nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C10";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C11";"10nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C12";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C13";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C14";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C15";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C16";"22uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C17";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C18";"0.1uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C19";"470pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C20";"22uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C21";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C22";"470pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C23";"4.7uF";"0.18UF-0603-10V-10%";"0603";"0.18µF ceramic capacitor";"";"";"";"";"";"";"";"";"";"CAP-12380";"";"0.18uF";
"C24";".22uF";"0.18UF-0603-10V-10%";"0603";"0.18µF ceramic capacitor";"";"";"";"";"";"";"";"";"";"CAP-12380";"";"0.18uF";
"C25";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C26";"0.1uF";"0.18UF-0603-10V-10%";"0603";"0.18µF ceramic capacitor";"";"";"";"";"";"";"";"";"";"CAP-12380";"";"0.18uF";
"C45";"0.1uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C52";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C55";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C56";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"";"";"";"";"";"";"DIO-00821";"";"GREEN";
"D2";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"";"";"";"";"";"";"DIO-00821";"";"GREEN";
"D3";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"";"";"";"";"";"";"DIO-00821";"";"GREEN";
"D4";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"";"";"";"";"";"";"DIO-00821";"";"GREEN";
"D5";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"";"";"";"";"";"";"DIO-00821";"";"GREEN";
"D6";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"";"";"";"";"";"";"DIO-00821";"";"GREEN";
"D8";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"";"";"";"";"";"";"DIO-00821";"";"GREEN";
"D9";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"";"";"";"";"";"";"DIO-00821";"";"GREEN";
"IC1";"DS3231/SO";"DS3231/SO";"SO16W";"The DS3231 is a low-cost, extremely accurate I²C real-time clock (RTC) with an integrated temperature-compensated crystal oscillator (TCXO) and crystal. The device incorporates a battery input, and maintains accurate timekeeping when main power to the device is interrupted.";"Unavailable";" ";"Maxim Integrated";"DS3231";"";"";"";"SOIC-16 Maxim Integrated";"None";"";"";"";
"J1";"Charger";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";
"J2";"Battery2";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";
"J3";"";"SOCKET-10V";"S10V";"10 pin PCB Socket (3m 85xx/51xx)";"";"";"";"";"";"";"";"";"";"";"";"";
"J5";"U.FL_TX";"U.FL2PIN";"U.FL";"SMD Antenna Connector - U.FL";"";"";"";"";"";"";"";"";"";"CONN-09193";"WRL-09144";"U.FL";
"J6";"U.FL_RX";"U.FL2PIN";"U.FL";"SMD Antenna Connector - U.FL";"";"";"";"";"";"";"";"";"";"CONN-09193";"WRL-09144";"U.FL";
"J16";"U.FL_LORA";"U.FL2PIN";"U.FL";"SMD Antenna Connector - U.FL";"";"";"";"";"";"";"";"";"";"CONN-09193";"WRL-09144";"U.FL";
"L1";"2.2uH";"INDUCTOR-0603-33NH";"0603";"Inductors";"";"";"";"";"";"";"";"";"";"NDUC-07874";"";"33nH/±5%/500mA";
"L3";"2.2uH";"INDUCTOR-0603-33NH";"0603";"Inductors";"";"";"";"";"";"";"";"";"";"NDUC-07874";"";"33nH/±5%/500mA";
"R1";"1.5k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"1.5k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R3";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R4";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R6";"1.5k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R7";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R8";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R9";"0.1/1% (PT2512FK-070R1L)";"RESISTOR2512";"2512";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";
"R10";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R11";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R12";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R13";"1.5k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R14";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R15";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R16";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R17";"1.5k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R18";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R19";"1.5k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R20";"1.5k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R36";"0.1/1% (PT2512FK-070R1L)";"RESISTOR2512";"2512";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";
"R42";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R44";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R50";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R51";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R52";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"R53";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"SL1";"";"M04";"04P";"AMP QUICK CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"SL2";"";"M04";"04P";"AMP QUICK CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"SL3";"";"M04";"04P";"AMP QUICK CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"SL4";"";"M04";"04P";"AMP QUICK CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"SL5";"";"M04";"04P";"AMP QUICK CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"SL6";"";"M06";"06P";"AMP QUICK CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"U$1";"DRF1268";"DRF1268";"RESCAV180P1570X1400X300-16";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"GYRO-SENSOR";"MPU-6050-1";"QFN-24-4MM2";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"TEMP_BAT(4C)";"LM75BDP";"SOT505-1";"Digital temperature sensor and thermal watchdog";"Unavailable";" ";"NXP Semiconductors";"LM75B";"";"";"";"None";"None";"";"";"";
"U3";"DRA818U_TX";"DRA818U";"DORJI_DRA818U";"VHF Band Voice Transceiver Module";"Unavailable";" ";"DORJI";"DRA818V";"";"";"";"Package Analog Devices";"None";"";"";"";
"U4";"REG_UC";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";"";"";"";"";"";"";"";"";"";"";"";
"U5";"DRA818U_RX";"DRA818U";"DORJI_DRA818U";"VHF Band Voice Transceiver Module";"Unavailable";" ";"DORJI";"DRA818V";"";"";"";"Package Analog Devices";"None";"";"";"";
"U6";"REG_BUS";"VREG_LM3671";"SOT23-5";"LM3671 - 600mA DC-DC Step-Down Converter";"";"";"";"";"";"";"";"";"";"";"";"";
"U7";"Current_system(40)";"INA219";"SOT23-8";"INA219 - I2C Current/Power Monitor";"";"";"";"";"";"";"";"";"";"";"";"";
"U8";"REG_PAYLOAD";"VREG_LM3671";"SOT23-5";"LM3671 - 600mA DC-DC Step-Down Converter";"";"";"";"";"";"";"";"";"";"";"";"";
"U9";"Current_payload(46)";"INA219";"SOT23-8";"INA219 - I2C Current/Power Monitor";"";"";"";"";"";"";"";"";"";"";"";"";
"U10";"REG_CAM";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";"";"";"";"";"";"";"";"";"";"";"";
"U11";" TCA9548APWR";"TCA9548A";"TSSOP24";"TCA9548A I2C Multiplexer";"";"";"";"";"";"";"";"";"";"";"";"";
"U12";"ATMEGA1284P-AU";"ATMEGA1284P-AU";"QFP80P1200X1200X120-44N";"Microcontroller with Programmable Flash";"Unavailable";" AVR AVR® ATmega Microcontroller IC 8-Bit 20MHz 128KB _64K x 16_ FLASH 44-TQFP _10x10_ ";"Microchip";"ATMEGA1284P-AU";"";"";"";"TQFP-44 Microchip";"None";"";"";"";
"U13";"TEMP_UC(4D)";"LM75BDP";"SOT505-1";"Digital temperature sensor and thermal watchdog";"Unavailable";" ";"NXP Semiconductors";"LM75B";"";"";"";"None";"None";"";"";"";
"U14";"HMC5883LSMD";"HMC5883LSMD";"16LPCC";"3 Axis Digital Compass IC";"";"";"";"";"";"";"";"";"";"";"";"";
"Y2";"RESONATORSMD";"RESONATORSMD";"RESONATOR-SMD";"Resonator";"";"";"";"";"";"";"";"";"";"";"";"";
